5	12	0.15	0
8	13.1111	0.24	0.2632
10	14.2222	0.3	0.4195
15	16.4444	0.45	0.847
16	16.8889	0.48	0.9274
18	17.7778	0.54	1.2201
20	18.6667	0.6	1.5163
25	20.8889	0.75	2.5819
5.5	12.2222	0.165	0.0586
6	12.4444	0.18	0.0895
6.5	12.6667	0.195	0.1203
7	12.8889	0.21	0.1503
7.5	13.1111	0.225	0.1799
8.5	13.3333	0.255	0.2381
9	13.5556	0.27	0.2678
9.5	13.7778	0.285	0.2976
10.5	14	0.315	0.3574
11	14.2222	0.33	0.3845
11.5	14.4444	0.345	0.4129
12	14.6667	0.36	0.4414
12.5	14.8889	0.375	0.4704
13	15.1111	0.39	0.4999
13.5	15.3333	0.405	0.5298
14	15.5556	0.42	0.5603
14.5	15.7778	0.435	0.5908
15.5	16	0.465	0.6495
16.5	16.2222	0.495	0.7147
17	16.4444	0.51	0.7844
17.5	16.6667	0.525	0.8221
18.5	16.8889	0.555	0.8694
19	17.1111	0.57	0.9747
19.5	17.3333	0.585	1.0329
20.5	17.5556	0.615	1.0931
21	17.7778	0.63	1.2159
21.5	18	0.645	1.2853
22	18.2222	0.66	1.3599
22.5	18.4444	0.675	1.4368
23	18.6667	0.69	1.5166
23.5	18.8889	0.705	1.5987
24	19.1111	0.72	1.6831
24.5	19.3333	0.735	1.77
